Class,Specialization,Type,Name,Spell ID,Canonical ID,Rank,Learned Level,Description,Category,HUD Row,Cooldown,Duration,Resource Cost,Aura ID,Track Mode,Tags,Wowhead Source,Notes
Druid,Balance,Talent,Celestial Focus,16924,16850,Rank 3/3,,Gives your Starfire spell a 15% chance to stun the target for 3 sec and increases the chance you'll resist spell interruption when casting your Wrath spell by 70%.,Talent Passive,Data only,,3,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16924,Talent: Celestial Focus; tree row 4
Druid,Balance,Talent,Control of Nature,16918,16918,Rank 1/3,,Gives you a 40% chance to avoid interruption caused by damage while casting Entangling Roots and Cyclone.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16918,Talent: Control of Nature; tree row 2
Druid,Balance,Talent,Control of Nature,16919,16918,Rank 2/3,,Gives you a 70% chance to avoid interruption caused by damage while casting Entangling Roots and Cyclone.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16919,Talent: Control of Nature; tree row 2
Druid,Balance,Talent,Control of Nature,16920,16918,Rank 3/3,,Gives you a 100% chance to avoid interruption caused by damage while casting Entangling Roots and Cyclone.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16920,Talent: Control of Nature; tree row 2
Druid,Balance,Talent,Dreamstate,33597,33597,Rank 1/3,,"Regenerate mana equal to 4% of your Intellect every 5 sec, even while casting.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=33597,Talent: Dreamstate; tree row 7
Druid,Balance,Talent,Dreamstate,33599,33597,Rank 2/3,,"Regenerate mana equal to 7% of your Intellect every 5 sec, even while casting.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=33599,Talent: Dreamstate; tree row 7
Druid,Balance,Talent,Dreamstate,33956,33597,Rank 3/3,,"Regenerate mana equal to 10% of your Intellect every 5 sec, even while casting.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=33956,Talent: Dreamstate; tree row 7
Druid,Balance,Talent,Focused Starlight,35363,35363,Rank 1/2,,Increases the critical strike chance of your Wrath and Starfire spells by 2%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=35363,Talent: Focused Starlight; tree row 2
Druid,Balance,Talent,Focused Starlight,35364,35363,Rank 2/2,,Increases the critical strike chance of your Wrath and Starfire spells by 4%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=35364,Talent: Focused Starlight; tree row 2
Druid,Balance,Talent Ability,Force of Nature,33831,33831,Rank 1/1,,Summons 3 treants to attack enemy targets for 30 sec.,Pet,Main,180,30,12% of base mana,,Cooldown,"DPS, MAJOR, PET_SUMMON, PET_SUMMON_TEMP, PVE",https://www.wowhead.com/tbc/spell=33831,Talent-required | Talent: Force of Nature
Druid,Balance,Talent,Improved Faerie Fire,33600,33600,Rank 1/3,,Your Faerie Fire spell also increases the chance the target will be hit by melee and ranged attacks by 1%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=33600,Talent: Improved Faerie Fire; tree row 7
Druid,Balance,Talent,Improved Faerie Fire,33601,33600,Rank 2/3,,Your Faerie Fire spell also increases the chance the target will be hit by melee and ranged attacks by 2%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=33601,Talent: Improved Faerie Fire; tree row 7
Druid,Balance,Talent,Improved Faerie Fire,33602,33600,Rank 3/3,,Your Faerie Fire spell also increases the chance the target will be hit by melee and ranged attacks by 3%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=33602,Talent: Improved Faerie Fire; tree row 7
Druid,Balance,Talent,Improved Moonfire,16821,16821,Rank 1/2,,Increases the damage and critical strike chance of your Moonfire spell by 5%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16821,Talent: Improved Moonfire; tree row 2
Druid,Balance,Talent,Improved Moonfire,16822,16821,Rank 2/2,,Increases the damage and critical strike chance of your Moonfire spell by 10%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16822,Talent: Improved Moonfire; tree row 2
Druid,Balance,Talent,Improved Nature's Grasp,17245,17245,Rank 1/4,,Increases the chance for your Nature's Grasp to entangle an enemy by 15%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=17245,Talent: Improved Nature's Grasp; tree row 1
Druid,Balance,Talent,Improved Nature's Grasp,17247,17245,Rank 2/4,,Increases the chance for your Nature's Grasp to entangle an enemy by 30%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=17247,Talent: Improved Nature's Grasp; tree row 1
Druid,Balance,Talent,Improved Nature's Grasp,17248,17245,Rank 3/4,,Increases the chance for your Nature's Grasp to entangle an enemy by 45%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=17248,Talent: Improved Nature's Grasp; tree row 1
Druid,Balance,Talent,Improved Nature's Grasp,17249,17245,Rank 4/4,,Increases the chance for your Nature's Grasp to entangle an enemy by 65%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=17249,Talent: Improved Nature's Grasp; tree row 1
Druid,Balance,Talent Ability,Insect Swarm,5570,5570,Rank 1/1,,"The enemy target is swarmed by insects, decreasing their chance to hit by 2% and causing 108 Nature damage over 12 sec.",Offensive,Main,0,12,50 Mana,,Cooldown,"DEBUFF, DPS, PVE, ROTATIONAL",https://www.wowhead.com/tbc/spell=5570,Talent-required | Talent: Insect Swarm
Druid,Balance,Talent Ability,Insect Swarm,24974,5570,Rank 2,30,"The enemy target is swarmed by insects, decreasing their chance to hit by 2% and causing 192 Nature damage over 12 sec.",Offensive,Main,0,12,85 Mana,,Cooldown,"DEBUFF, DPS, PVE, ROTATIONAL",https://www.wowhead.com/tbc/spell=24974,Talent-required
Druid,Balance,Talent Ability,Insect Swarm,24975,5570,Rank 3,40,"The enemy target is swarmed by insects, decreasing their chance to hit by 2% and causing 300 Nature damage over 12 sec.",Offensive,Main,0,12,110 Mana,,Cooldown,"DEBUFF, DPS, PVE, ROTATIONAL",https://www.wowhead.com/tbc/spell=24975,Talent-required
Druid,Balance,Talent Ability,Insect Swarm,24976,5570,Rank 4,50,"The enemy target is swarmed by insects, decreasing their chance to hit by 2% and causing 432 Nature damage over 12 sec.",Offensive,Main,0,12,135 Mana,,Cooldown,"DEBUFF, DPS, PVE, ROTATIONAL",https://www.wowhead.com/tbc/spell=24976,Talent-required
Druid,Balance,Talent Ability,Insect Swarm,24977,5570,Rank 5,60,"The enemy target is swarmed by insects, decreasing their chance to hit by 2% and causing 594 Nature damage over 12 sec.",Offensive,Main,0,12,155 Mana,,Cooldown,"DEBUFF, DPS, PVE, ROTATIONAL",https://www.wowhead.com/tbc/spell=24977,Talent-required
Druid,Balance,Talent Ability,Insect Swarm,27013,5570,Rank 6,70,"The enemy target is swarmed by insects, decreasing their chance to hit by 2% and causing 792 Nature damage over 12 sec.",Offensive,Main,0,12,175 Mana,,Cooldown,"DEBUFF, DPS, PVE, ROTATIONAL",https://www.wowhead.com/tbc/spell=27013,Talent-required
Druid,Balance,Talent,Lunar Guidance,33589,33589,Rank 1/3,,Increases your spell damage and healing by 8% of your total Intellect.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=33589,Talent: Lunar Guidance; tree row 5
Druid,Balance,Talent,Lunar Guidance,33590,33589,Rank 2/3,,Increases your spell damage and healing by 16% of your total Intellect.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=33590,Talent: Lunar Guidance; tree row 5
Druid,Balance,Talent,Lunar Guidance,33591,33589,Rank 3/3,,Increases your spell damage and healing by 25% of your total Intellect.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=33591,Talent: Lunar Guidance; tree row 5
Druid,Balance,Talent,Moonfury,16896,16896,Rank 1/5,,"Increases the damage done by your Starfire, Moonfire and Wrath spells by 2%.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16896,Talent: Moonfury; tree row 6
Druid,Balance,Talent,Moonfury,16897,16896,Rank 2/5,,"Increases the damage done by your Starfire, Moonfire and Wrath spells by 4%.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16897,Talent: Moonfury; tree row 6
Druid,Balance,Talent,Moonfury,16899,16896,Rank 3/5,,"Increases the damage done by your Starfire, Moonfire and Wrath spells by 6%.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16899,Talent: Moonfury; tree row 6
Druid,Balance,Talent,Moonfury,16900,16896,Rank 4/5,,"Increases the damage done by your Starfire, Moonfire and Wrath spells by 8%.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16900,Talent: Moonfury; tree row 6
Druid,Balance,Talent,Moonfury,16901,16896,Rank 5/5,,"Increases the damage done by your Starfire, Moonfire and Wrath spells by 10%.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16901,Talent: Moonfury; tree row 6
Druid,Balance,Talent,Moonglow,16845,16845,Rank 1/3,,"Reduces the Mana cost of your Moonfire, Starfire, Wrath, Healing Touch, Regrowth and Rejuvenation spells by 3%.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16845,Talent: Moonglow; tree row 5
Druid,Balance,Talent,Moonglow,16846,16845,Rank 2/3,,"Reduces the Mana cost of your Moonfire, Starfire, Wrath, Healing Touch, Regrowth and Rejuvenation spells by 6%.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16846,Talent: Moonglow; tree row 5
Druid,Balance,Talent,Moonglow,16847,16845,Rank 3/3,,"Reduces the Mana cost of your Moonfire, Starfire, Wrath, Healing Touch, Regrowth and Rejuvenation spells by 9%.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16847,Talent: Moonglow; tree row 5
Druid,Balance,Talent Ability,Moonkin Form,24858,24858,Rank 1/1,,"Shapeshift into Moonkin Form. While in this form the armor contribution from items is increased by 400%, attack power is increased by 150% of your level and all party members within 30 yards have their spell critical chance increased by 5%. Melee attacks in this form have a chance on hit to regenerate mana based on attack power. The Moonkin can only cast Balance and Remove Curse spells while shapeshifted.
The act of shapeshifting frees the caster of Polymorph and Movement Impairing effects.",Form,Utility,0,,22% of base mana,24907,Cooldown + aura,SHAPESHIFT,https://www.wowhead.com/tbc/spell=24858,Talent-required | Talent: Moonkin Form
Druid,Balance,Talent,Nature's Grace,16880,16880,Rank 1/1,,"All spell criticals grace you with a blessing of nature, reducing the casting time of your next spell by 0.5 sec.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16880,Talent: Nature's Grace; tree row 5
Druid,Balance,Talent Ability,Nature's Grasp,16689,16689,Rank 1,,"While active, any time an enemy strikes the caster they have a 35% chance to become afflicted by Entangling Roots (Rank 1). Only useable outdoors. 1 charge. Lasts 45 sec.",Defensive,Utility,60,45,,"19975, 19974, 19973, 19972, 19971, 19970, 27010",Cooldown + aura,"DEFENSIVE, HAS_BUFF, MINOR, ROOT",https://www.wowhead.com/tbc/spell=16689,Talent: Nature's Grasp
Druid,Balance,Talent,Nature's Reach,16819,16819,Rank 1/2,,Increases the range of your Balance spells and Faerie Fire (Feral) ability by 10%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16819,Talent: Nature's Reach; tree row 3
Druid,Balance,Talent,Nature's Reach,16820,16819,Rank 2/2,,Increases the range of your Balance spells and Faerie Fire (Feral) ability by 20%.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16820,Talent: Nature's Reach; tree row 3
Druid,Balance,Talent,Starlight Wrath,16814,16814,Rank 1/5,,Reduces the cast time of your Wrath and Starfire spells by 0.1 sec.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16814,Talent: Starlight Wrath; tree row 1
Druid,Balance,Talent,Starlight Wrath,16815,16814,Rank 2/5,,Reduces the cast time of your Wrath and Starfire spells by 0.2 sec.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16815,Talent: Starlight Wrath; tree row 1
Druid,Balance,Talent,Starlight Wrath,16816,16814,Rank 3/5,,Reduces the cast time of your Wrath and Starfire spells by 0.3 sec.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16816,Talent: Starlight Wrath; tree row 1
Druid,Balance,Talent,Starlight Wrath,16817,16814,Rank 4/5,,Reduces the cast time of your Wrath and Starfire spells by 0.4 sec.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16817,Talent: Starlight Wrath; tree row 1
Druid,Balance,Talent,Starlight Wrath,16818,16814,Rank 5/5,,Reduces the cast time of your Wrath and Starfire spells by 0.5 sec.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16818,Talent: Starlight Wrath; tree row 1
Druid,Balance,Talent,Vengeance,16909,16909,Rank 1/5,,"Increases the critical strike damage bonus of your Starfire, Moonfire, and Wrath spells by 20%.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16909,Talent: Vengeance; tree row 4
Druid,Balance,Talent,Vengeance,16910,16909,Rank 2/5,,"Increases the critical strike damage bonus of your Starfire, Moonfire, and Wrath spells by 40%.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16910,Talent: Vengeance; tree row 4
Druid,Balance,Talent,Vengeance,16911,16909,Rank 3/5,,"Increases the critical strike damage bonus of your Starfire, Moonfire, and Wrath spells by 60%.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16911,Talent: Vengeance; tree row 4
Druid,Balance,Talent,Vengeance,16912,16909,Rank 4/5,,"Increases the critical strike damage bonus of your Starfire, Moonfire, and Wrath spells by 80%.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16912,Talent: Vengeance; tree row 4
Druid,Balance,Talent,Vengeance,16913,16909,Rank 5/5,,"Increases the critical strike damage bonus of your Starfire, Moonfire, and Wrath spells by 100%.",Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=16913,Talent: Vengeance; tree row 4
Druid,Balance,Talent,Wrath of Cenarius,33603,33603,Rank 1/5,,Your Starfire spell gains an additional 4% and your Wrath gains an additional 2% of your bonus damage effects.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=33603,Talent: Wrath of Cenarius; tree row 8
Druid,Balance,Talent,Wrath of Cenarius,33604,33603,Rank 2/5,,Your Starfire spell gains an additional 8% and your Wrath gains an additional 4% of your bonus damage effects.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=33604,Talent: Wrath of Cenarius; tree row 8
Druid,Balance,Talent,Wrath of Cenarius,33605,33603,Rank 3/5,,Your Starfire spell gains an additional 12% and your Wrath gains an additional 6% of your bonus damage effects.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=33605,Talent: Wrath of Cenarius; tree row 8
Druid,Balance,Talent,Wrath of Cenarius,33606,33603,Rank 4/5,,Your Starfire spell gains an additional 16% and your Wrath gains an additional 8% of your bonus damage effects.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=33606,Talent: Wrath of Cenarius; tree row 8
Druid,Balance,Talent,Wrath of Cenarius,33607,33603,Rank 5/5,,Your Starfire spell gains an additional 20% and your Wrath gains an additional 10% of your bonus damage effects.,Talent Passive,Data only,,,,,Data only,TALENT,https://www.wowhead.com/tbc/spell=33607,Talent: Wrath of Cenarius; tree row 8
Druid,"Balance, Restoration",Ability,Faerie Fire,770,770,Rank 1,18,"Decrease the armor of the target by 175 for 40 sec. While affected, the target cannot stealth or turn invisible.",Utility,Utility,0,40,55 Mana,,Cooldown,"DEBUFF, PVE_PVP, UTILITY",https://www.wowhead.com/tbc/spell=770,
