Item Name,Item ID,Tracking Type,Trigger Spell ID,Proc Buff Name,Proc Buff ID,On-use Buff ID,Internal Cooldown,Buff Duration,On Target,Wowhead Source,Notes
Living Root of the Wildheart,30664,Passive proc,37336,Cenarion Blessing,37344,,0,,No,https://www.wowhead.com/tbc/item=30664,All on-use trinkets are also detected dynamically in-game with GetItemSpell().
Madness of the Betrayer,32505,Passive proc,"15828, 40475",Forceful Strike,40477,,0,,No,https://www.wowhead.com/tbc/item=32505,All on-use trinkets are also detected dynamically in-game with GetItemSpell().
Memento of Tyrande,32496,Passive proc,"25179, 37655",Wisdom,37656,,50,,No,https://www.wowhead.com/tbc/item=32496,All on-use trinkets are also detected dynamically in-game with GetItemSpell().
Quagmirran's Eye,27683,Passive proc,"18054, 33297",Spell Haste,33370,,45,6,No,https://www.wowhead.com/tbc/item=27683,All on-use trinkets are also detected dynamically in-game with GetItemSpell().
Scarab of the Infinite Cycle,28190,Passive proc,"18043, 33953",Spell Haste,33370,,45,6,No,https://www.wowhead.com/tbc/item=28190,All on-use trinkets are also detected dynamically in-game with GetItemSpell().
Sextant of Unstable Currents,30626,Passive proc,38347,Unstable Currents,38348,,45,15,No,https://www.wowhead.com/tbc/item=30626,All on-use trinkets are also detected dynamically in-game with GetItemSpell().
Shard of Contempt,34472,Passive proc,45354,Disdain,45053,,45,20,No,https://www.wowhead.com/tbc/item=34472,All on-use trinkets are also detected dynamically in-game with GetItemSpell().
Shiffar's Nexus-Horn,28418,Passive proc,34320,Call of the Nexus,34321,,45,10,No,https://www.wowhead.com/tbc/item=28418,All on-use trinkets are also detected dynamically in-game with GetItemSpell().
Talon of Al'ar,30448,Passive proc,37507,Shot Power,37508,,0,,No,https://www.wowhead.com/tbc/item=30448,All on-use trinkets are also detected dynamically in-game with GetItemSpell().
The Lightning Capacitor,28785,Passive proc,37657,Electrical Charge,37658,,0,,No,https://www.wowhead.com/tbc/item=28785,All on-use trinkets are also detected dynamically in-game with GetItemSpell().
Timbal's Focusing Crystal,34470,Passive proc,"17493, 45054",Shadow Bolt,45055,,15,,No,https://www.wowhead.com/tbc/item=34470,All on-use trinkets are also detected dynamically in-game with GetItemSpell().
Tome of Fiery Redemption,30447,Passive proc,37197,Blessing of Righteousness,37198,,45,,No,https://www.wowhead.com/tbc/item=30447,All on-use trinkets are also detected dynamically in-game with GetItemSpell().
Tsunami Talisman,30627,Passive proc,42083,Fury of the Crashing Waves,42084,,45,10,No,https://www.wowhead.com/tbc/item=30627,All on-use trinkets are also detected dynamically in-game with GetItemSpell().
Warp-Spring Coil,30450,Passive proc,37173,Perceived Weakness,37174,,30,,No,https://www.wowhead.com/tbc/item=30450,All on-use trinkets are also detected dynamically in-game with GetItemSpell().
